Type of work,Experience,Employment Type,Operating mode,Job ID,Job Title,Employer Name,Job Description,Salaries,Category,min,max,type
Full-time,Senior,B2B,Remote,370,Manager Database Administrator,Link Group,"Role Overview We are looking for an experienced and versatileSenior Database Administratorto step into a managerial role within our growing IT team. This is an exciting opportunity for someone passionate about database technologies who is also ready to lead and develop a team. You will be responsible for ensuring the reliability, performance, and security of our database systems while driving strategic improvements and mentoring your team. Design, implement, and maintain robust, high-performance, and secure database environments. Monitor system performance, proactively troubleshoot issues, and optimize efficiency. Oversee backup strategies, ensure successful recovery processes, and manage disaster recovery plans. Lead, coach, and mentor a team of database professionals, supporting their growth and daily activities. Partner with cross-functional teams to understand and deliver on database requirements aligned with business objectives. Promote a culture of learning, innovation, and continuous improvement. Define and execute database strategies that align with broader IT and organizational goals. Stay updated on emerging technologies and best practices, recommending and implementing upgrades and enhancements. Maintain thorough documentation of database architecture, procedures, and configurations. Ensure adherence to security, data governance, and compliance standards. Provide technical guidance and training to IT staff and end-users. Work closely with development teams to optimize database integration and performance for business-critical applications. Bachelor’s degree in Computer Science, Information Technology, or a related field. At least5 years of experienceas a DBA, includingproven experience in a leadership or managerial role. Strong leadership and team management skills, with ability to mentor and inspire technical teams. Deep expertise with database systems such as Oracle, SQL Server, or MySQL. Strong background in database design, performance tuning, and optimization. Excellent problem-solving, analytical, and decision-making skills. Strong communication and interpersonal abilities to effectively collaborate across teams. Experience working with cloud database platforms (e.g., AWS, Azure). Understanding of data warehousing and business intelligence concepts. Familiarity with database security standards and best practices.","[{""min"": 150, ""max"": 180, ""type"": ""Net per hour - B2B""}]",Database Administration,150,180,Net per hour - B2B
Full-time,Senior,B2B,Remote,372,MOCNY GCP Data Engineer,Link Group,"Poszukujemy doświadczonego GCP Data Engineera do projektu realizowanego dla globalnej firmy konsultingowej w obszarze data & analytics. Praca dotyczy budowy i optymalizacji zaawansowanych pipeline’ów danych w środowisku Google Cloud Platform (BigQuery, Airflow, DBT). Kluczowe będą umiejętności projektowania architektury danych, integracji danych z różnych źródeł oraz optymalizacji wydajności systemów. Wymagania: Minimum 4 lata doświadczenia jako Data Engineer, w tym 3 lata z GCP Bardzo dobra znajomość BigQuery, Python, SQL Doświadczenie z Airflow, DBT/Dataform Znajomość zasad modelowania danych, optymalizacji zapytań Angielski B2/C1 Mile widziane: Certyfikaty GCP, doświadczenie z BI (Power BI, Tableau), znajomość Azure Informacje organizacyjne: 📍 100% zdalnie 🗓 Start: sierpień 💼 Proces: HR + techniczne + opcjonalne spotkanie z klientem","[{""min"": 150, ""max"": 170, ""type"": ""Net per hour - B2B""}]",Data Engineering,150,170,Net per hour - B2B
Full-time,Mid,Permanent or B2B,Remote,373,Snowflake Data Engineer,Onwelo Sp. z o.o.,"Jesteśmy nowoczesną polską firmą technologiczną, która dostarcza wsparcie eksperckie organizacjom na całym świecie. Tworzymy, rozwijamy i utrzymujemy zaawansowane rozwiązania IT, oferując przy tym solidne zaplecze kompetencyjne. W ciągu kilku lat zrealizowaliśmy ponad 300 projektów w Europie i USA, dynamicznie rozbudowując zespół do kilkuset specjalistów i otwierając sześć biur w Polsce oraz oddziały w USA, Niemczech i Szwajcarii. Dołączysz do zespołu realizującego projekt dla globalnej organizacji z sektoralife science i healthcare, specjalizującej się w rozwiązaniach laboratoryjnych i biotechnologicznych. Klient prowadzi działalność na wielu rynkach i obsługuje tysiące jednostek operacyjnych na całym świecie.Celem projektu jest budowa i rozwój skalowalnej platformy danych w środowisku chmurowym, która wspiera analitykę biznesową, planowanie operacyjne oraz zaawansowane modele predykcyjne.Zespół Onwelo wspiera klientam.in. w rozwoju hurtowni danych, projektowaniu potoków ETL, modelowaniu danych i zapewnieniu jakości danych w środowisku enterprise.Szukamy osoby, która wniesie swoje doświadczenie i wesprze zespół w rozwoju architektury danych, zapewniając wydajność, jakość i bezpieczeństwo danych. Projektować, budować i rozwijać hurtownie danych oparte na platformieSnowflake Tworzyć oraz optymalizowaćpotoki danych (ETL/ELT)w środowiskach chmurowych Wdrażać i zarządzać komponentami Snowflake: Snowpipe, Streams, Tasks, Secure Views Projektować i rozwijaćmodele danychwspierające analitykę biznesową Współpracować z zespołami Data Science i BI w zakresie zasilania modeli i dashboardów Wspierać automatyzację procesów danych poprzez integrację z narzędziami CI/CD (GitLab, Jenkins) Posiadasz minimum 3-letnie doświadczenie jakoData Engineer– z naciskiem na Snowflake Znasz platformęSnowflake: strukturę danych, architekturę, optymalizację zapytań, zarządzanie schematami i dostępem Biegle posługujesz sięSQL(w tym: CTE, window functions, UDF, optymalizacja zapytań) Masz doświadczenie z procesamiETL/ELT, również z wykorzystaniem danych półstrukturalnych (JSON, XML, Parquet) Znasz zasady projektowania nowoczesnych modeli danych (np. Kimball, Data Vault) Maszwyższe wykształcenie techniczne(np. informatyka, matematyka, inżynieria danych) Komunikujesz siępo angielsku na poziomie min. B2 Wybierzesz wygodną dla Ciebie formę zatrudnienia Otrzymasz możliwość korzystania z elastycznych godzin pracy Praca w trybie hybrydowym lub zdalnym Rozwiniesz swoje umiejętności, współpracując z doświadczonymi ekspertami Będziesz pracować z wykorzystaniem nowych technologii Uzyskasz dostęp do szkoleń wewnętrznych Weźmiesz udział w ciekawych projektach dla polskich i międzynarodowych klientów Będzie na Ciebie czekać przyjazne i komfortowe środowisko pracy Integracje firmowe pozwolą Ci na bliższe poznanie zespołu Zabezpieczysz swoją przyszłość, korzystając z dodatkowego ubezpieczenia na życie Z prywatną opieką medyczną zadbasz o zdrowie swoje i swoich bliskich Karta MultiSport Plus umożliwi Ci prowadzenie aktywnego trybu życia","[{""min"": 16800, ""max"": 23100, ""type"": ""Net per month - B2B""}, {""min"": 14000, ""max"": 17000, ""type"": ""Gross per month - Permanent""}]",Data Engineering,16800,23100,Net per month - B2B
Full-time,Mid,B2B,Remote,374,Data Engineer,Keyloop,"Keyloop bridges the gap between dealers, manufacturers, technology suppliers and car buyers. We empower car dealers and manufacturers to fully embrace digital transformation. How? By creating innovative technology that makes selling cars better for our customers, and buying and owning cars better for theirs. We use cutting-edge technology to link our clients’ systems, departments and sites. We provide an open technology platform that’s shaping the industry for the future. We use data to help clients become more efficient, increase profitability and give more customers an amazing experience.Want to be part of it? Job Summary: As a Data Engineer at Keyloop you will work within the Analytics Engineering team and be responsible for maintaining and developing our Data Lake and existing Data Pipelines, as well as continually exploring, analysing and proposing improvements to existing processes and tooling. You will also be required to contribute to scoping and discovery exercises being conducted elsewhere in the business, leveraging your expert knowledge of the data and business intelligence offering and the associated data requirements. You will therefore be working in a busy and multi-functional team, planning and prioritising a variable workload and delivering to deadlines. You will report to the Lead Analytics Engineer, and you may provide mentorship to other analysts and data engineers in Analytics Engineering where appropriate to support their knowledge and skills growth. Key Responsibilities: • Design, build and maintain scalable and robust ETL/ELT pipelines using various data integration tools and programming languages (e.g. Python, SQL) • Collaborate with Analytics Engineers to design and implement optimised data models within our data warehouse, ensuring data quality, consistency and ease of use for analytics • Manage and optimise our data warehouse including cost optimisation and ensuring data governance best practices • Implement robust data validation, monitoring and alerting mechanisms to ensure accuracy and completeness of our data • Work closely with Analytics Engineers to understand their data requirements, provide technical guidance and ensure the efficient delivery of data products • Pre and post release communications where necessary to relevant stakeholders • Documenting processes (or SOPs) for commonly performed tasks to assist with the training of other Data Engineers, or to aid business continuity as a general theme • Fully understanding the data landscape in databases, analytics and applications and all the front-end and back-end products in the global portfolio • Understanding of data compliance and laws, as well as the full data collection to output technology stack Technical Competencies: • Experience with Amazon Web Services cloud platform and with knowledge in particular of data related services they offer • SQL for data manipulation, transformation and query optimisation • Experience in Python for data engineering tasks • Hands-on experience with a modern data warehouse platform (e.g. Amazon Redshift) • Solid understanding of data warehousing concepts, dimensional modelling (star schema approach), and ETL/ELT principles • Experience with data pipeline orchestration tools • Familiarity with version control systems (e.g. Git) • Understanding of data governance principles and tools Behavioural & Personality Competencies: • Analytical and logical mindset • Time management skills • High standard of problem-solving skills and attention to detail • Good communication and listening skills • Team player and collaborative • Ability to manage multiple different projects · Organised & self-sufficient · Logical, methodical approach to problem and issue solving · Numerate, innovative and critical thinking Desirable Skills: • Familiarity with JIRA software • Experience, or an interest in, the automotive industry • Experience of Agile/SCRUM delivery environment Why join us? We’re on a journey to become market leaders in our space – and with that comes some incredible opportunities. Collaborate and learn from industry experts from all over the globe. Work with game-changing products and services. Get the training and support you need to try new things, adapt to quick changes and explore different paths. Join Keyloop and progress your career, your way. An inclusive environment to thrive We’re committed to fostering an inclusive work environment. One that respects all dimensions of diversity. We promote an inclusive culture within our business, and we celebrate different employees and lifestyles – not just on key days, but every day. Be rewarded for your efforts We believe people should be paid based on their performance so our pay and benefits reflect this and are designed to attract the very best talent. We encourage everyone in our organisation to explore opportunities which enable them to grow their career through investment in their development but equally by working in a culture which fosters support and unbridled collaboration. Keyloop doesn’t require academic qualifications for this position. We select based on experience and potential, not credentials. We are also an equal opportunity employer committed to building a diverse and inclusive workforce. We value diversity and encourage candidates of all backgrounds to apply.","[{""min"": 18000, ""max"": 23100, ""type"": ""Net per month - B2B""}]",Data Engineering,18000,23100,Net per month - B2B
Full-time,Mid,Permanent or B2B,Remote,375,Data Scientist,Onwelo Sp. z o.o.,"Onweloto nowoczesna polska spółka technologiczna, specjalizująca się w budowie innowacyjnych rozwiązań IT dla organizacji z różnych sektorów na całym świecie. Firma oferuje kompleksowe usługi z zakresu tworzenia, rozwoju i utrzymania oprogramowania, oraz silne wsparcie kompetencyjne. Do naszego zespołuData & Analyticsposzukujemy Data Scientista, który będzie pracował nad budową i rozwojem modeli analitycznych oraz uczenia maszynowego dla klientów z różnych branż – zarówno z Polski, jak i z rynków zagranicznych. Będziesz współpracować z zespołami analitycznymi i biznesowymi, wspierać podejmowanie decyzji na podstawie danych i tworzyć rozwiązania, które realnie wpływają na działalność naszych klientów. Przeprowadzać eksploracyjnąanalizę danych (EDA) Poszukiwaćzależności, wzorców i insightów w danych biznesowych Budowaćmodele klasyfikacyjne, regresyjne i klasteryzacyjne Przeprowadzaćfeature engineering i przygotowywać dane do modelowania Współpracować z zespołami analitycznymi, technologicznymi i biznesowymi Wizualizować wyniki analiz i przygotowywać raporty oraz prezentacje Maszminimum 2-letnie doświadczeniew pracy jakoData Scientistlub na podobnym stanowisku Bardzo dobrze znaszPythona i pracowałeś z bibliotekami: pandas, scikit-learn, numpy, matplotlib, seaborn Swobodnie pracujesz zdanymi tabelarycznymii znasztechniki EDA Potrafisz wyciągać trafne wnioski z danych i prezentować je w przystępny sposób ZnaszSQLi masz doświadczenie z dużymi zbiorami danych Dodatkowo docenimy, jeśli: Korzystałeś znarzędzi BI i znasz metody interpretacji modeli Masz doświadczenie w automatyzacji procesów analitycznych Znasz system kontroli wersjiGITi technologie konteneryzacji (Docker) Pracowałeś z rozwiązaniami w chmurze obliczeniowej(Azure, AWS lub GCP) Wybierzesz wygodną dla Ciebie formę zatrudnienia Potrzebujesz pracować zdalnie? Jesteśmy otwarci! Rozwiniesz swoje umiejętności, współpracując z doświadczonymi ekspertami Będziesz pracować z wykorzystaniem nowych technologii Uzyskasz dostęp do szkoleń wewnętrznych i zewnętrznych Weźmiesz udział w ciekawych projektach dla polskich i międzynarodowych klientów Będzie na Ciebie czekać przyjazne i komfortowe środowisko pracy Wydarzenia firmowe pozwolą Ci na bliższe poznanie zespołu","[{""min"": 15750, ""max"": 21000, ""type"": ""Net per month - B2B""}, {""min"": 12000, ""max"": 15000, ""type"": ""Gross per month - Permanent""}]",Data Science,15750,21000,Net per month - B2B
Full-time,Mid,B2B,Remote,377,Spatial Data Engineer,Spyrosoft,"Project Description Are you passionate about geospatial data and eager to work on cutting-edge GIS solutions? Join our team as a Spatial Data Engineer and help our clients implement and maintain advanced spatial data processing systems using ESRI products or Open-Source equivalents. Key Responsibilities Process and manage geospatial data from diverse sources Design and maintain ETL pipelines Integrate spatial data from multiple systems Develop automation solutions for data workflow Build GIS applications (web and mobile) Technical Requirements Solid understanding of spatial data models and best practices in spatial data management Proficiency in Python at an intermediate level, especially with ArcGIS API for Python and arcpy Strong experience with ESRI products , particularly: ArcGIS Pro ArcGIS Online (including: Experience Builder, Field Maps, Hub, Map Viewer, Survey123, Workflow Manager) ArcGIS Notebooks Managing and administering ArcGIS Online/Portal Automating spatial data processing (using ESRI or Open-Source tools) Integrating cloud solutions (Azure, AWS) with GIS environments Working in Azure DevOps Familiarity with data sharing methodologies and cloud-based environments Nice to have: Experience with FME Form , FME Flow , ArcGIS Velocity , or Sweet for ArcGIS ﻿ 💡 Soft Skills Passion for spatial data and strong analytical thinking Excellent communication skills and business-oriented mindset Fluency in English, both written and spoken","[{""min"": 70, ""max"": 120, ""type"": ""Net per hour - B2B""}]",Data Engineering,70,120,Net per hour - B2B
Full-time,Mid,B2B,Remote,378,Data Engineer (Palantir+Snowflake),Onwelo Sp. z o.o.,"Poznaj Onwelo: Jesteśmy nowoczesną polską firmą technologiczną, która dostarcza wsparcie eksperckie organizacjom na całym świecie. Tworzymy, rozwijamy i utrzymujemy zaawansowane rozwiązania IT, oferując przy tym solidne zaplecze kompetencyjne. W ciągu kilku lat zrealizowaliśmy ponad 300 projektów w Europie i USA, dynamicznie rozbudowując zespół do kilkuset specjalistów i otwierając sześć biur w Polsce oraz oddziały w USA, Niemczech i Szwajcarii. Dołącz do zespołu Data, który wspiera jedną z największych grup technologicznych na świecie w budowie centralnej platformy danych. W projektach wykorzystujemy platformęPalantir Foundryjako warstwę aplikacyjną orazSnowflakejako warstwę magazynowania i przetwarzania danych. Pracujemy nad integracją danych z różnych źródeł (ERP, CRM, dane laboratoryjne) i tworzymy zaawansowane pipeline'y danych, modele analityczne i aplikacje wspierające decyzje biznesowe. Tworzyć i utrzymywać pipeline’y danych w platformiePalantir Foundry Projektować i wdrażać procesy przetwarzania danych oraz modele danych wSnowflake Integrować dane z różnych źródeł – ERP, CRM, dane laboratoryjne Zapewniać jakość danych, monitorować i optymalizować procesy Współpracować z architektami i analitykami danych przy projektach w różnych obszarach biznesowych (produkcja, finanse, logistyka, R&D) Masz min. 3–5 lat doświadczenia jako Data Engineer lub Developer Pracowałeś(aś) z platformąPalantir Foundry(np. Code Workbook, Pipelines, Ontology) Bardzo dobrze znaszSnowflakei językSQL Programujesz wPythoni/lubPySpark Masz doświadczenie w integracji danych z systemów klasyERP/CRM(np. SAP, Salesforce, MS Dynamics) Znasz rozwiązania chmurowe, szczególnieAWS Posługujesz się językiem angielskim na poziomie min.B2(międzynarodowe środowisko) Wybierzesz wygodną dla Ciebie formę zatrudnienia Otrzymasz możliwość korzystania z elastycznych godzin pracy Praca w trybie hybrydowym lub zdalnym Zaoszczędzisz czas na dojazdach – pracuj w naszym atrakcyjnie zlokalizowanym biurze w jednym z 6 miast w Polsce Rozwiniesz swoje umiejętności, współpracując z doświadczonymi ekspertami Będziesz pracować z wykorzystaniem nowych technologii Uzyskasz dostęp do szkoleń wewnętrznych Weźmiesz udział w ciekawych projektach dla polskich i międzynarodowych klientów Będzie na Ciebie czekać przyjazne i komfortowe środowisko pracy Integracje firmowe pozwolą Ci na bliższe poznanie zespołu Zabezpieczysz swoją przyszłość, korzystając z dodatkowego ubezpieczenia na życie Z prywatną opieką medyczną zadbasz o zdrowie swoje i swoich bliskich Karta MultiSport Plus umożliwi Ci prowadzenie aktywnego trybu życia","[{""min"": 900, ""max"": 1000, ""type"": ""Net per day - B2B""}]",Data Engineering,900,1000,Net per day - B2B
Full-time,Senior,B2B,Remote,379,Data Solution Architect (Azure),Scalo,"W Scalo zajmujemy się dostarczaniem projektów software'owych i wspieraniem naszych partnerów w rozwijaniu ich biznesu. Tworzymy oprogramowanie, które umożliwia ludziom dokonywanie zmian, działanie w szybszym tempie oraz osiąganie lepszych rezultatów. Jesteśmy firmą, która wykorzystuje szerokie spektrum usług IT, żeby pomagać klientom. Obszary naszego działania tom.in.: doradztwo technologiczne, tworzenie oprogramowania, systemy wbudowane, rozwiązania chmurowe, zarządzanie danymi, dedykowane zespoły developerskie. Cześć! U nas znajdziesz to, czego szukasz - przekonaj się! projekt budowy nowoczesnej Data Platform w chmurze Azure, obejmującej warstwę Lakehouse (Bronze / Silver / Gold) oraz Analytical Platform (MLOps), modelowanie struktur bazodanowych w podejściu DDD (Data Domain Driven Design), opracowywanie modeli danych na podstawie dokumentacji z obszaru Data Governance (glosariusz danych, modele konceptualne/logiczne), projektowanie przepływu danych ze źródeł do warstw platformy danych (Ingest: direct query, API, event streaming), tworzenie i dokumentowanie Data Contracts, współpraca z właścicielami systemów źródłowych i docelowych w zakresie integracji danych i SLA, implementacja struktur danych w architekturze medallion (Bronze / Silver / Gold) przy użyciu ETL na Azure Data Platform, doradztwo w zakresie doboru narzędzi, architektury integracyjnej i praktyk CI/CD, możliwość realnego wpływu na standardy technologiczne i projektowe, praca 100% zdalna, a dla chętnych możliwość pracy z biura we Wrocławiu, stawka do 240 zł/h przy B2B, w zależności od doświadczenia. masz doświadczenie w modelowaniu danych (ERD), przygotowywaniu Data Contracts i implementacji struktur domenowych w środowisku Data Warehouse znasz procesy Data Ingestion i architekturę nowoczesnych DWH w Azure (Azure Synapse, Data Lake, Databricks), masz doświadczenie z platformami MLOps / Analytical Platform, mile widziane doświadczenie w: tworzeniu dokumentacji mapowania danych źródłowych, zarządzaniu metadanymi i jakością danych (np. Azure Purview), komunikujesz się płynnie w języku angielskim (B2/C1). długofalową współpracę - różnorodne projekty (działamy w ramach Software Services, Embedded Services, Data Services, Cloud Services), możliwość rozwoju kompetencji we współpracy z naszym Center of Excellence, kafeteryjny system benefitów – Motivizer, prywatną opiekę medyczną – Luxmed. Brzmi interesująco? Aplikuj – czekamy na Twoje CV!","[{""min"": 33600, ""max"": 40320, ""type"": ""Net per month - B2B""}]",Data Architecture,33600,40320,Net per month - B2B
Full-time,Mid,B2B,Hybrid,382,BI Developer (WCL Qlik),ITDS,"BI Developer (WCL Qlik) Join us, and turn data into powerful business decisions! Kraków - based opportunity with hybrid work model (6 days/month in the office). As aBI Developer (WCL Qlik),you will be working for our client, a leading global financial institution undergoing a major digital transformation to enhance its data analytics capabilities. You will be part of a dynamic team focused on developing and maintaining scalable Qlik dashboards and reports, aimed at improving decision-making across various business units. The project involves managing complex data sets, implementing infrastructure best practices, and ensuring compliance within a fast-paced, highly regulated environment. Your role plays a key part in optimizing how data is shared, visualized, and utilized to deliver impactful business insights. Your main responsibilities: Developing advanced dashboards and reports using QlikSense Ensuring data integrity and managing updates to data sources Managing project sites and content on Qlik Server Documenting data sources, processes, and dashboards clearly Analyzing data sharing policies and promoting compliance best practices Collaborating with cross-functional teams and stakeholders at all levels Supporting Qlik deployment by following infrastructure best practices Enhancing dashboard performance for large data sets Influencing stakeholders through thoughtful data presentations Following established internal control standards and audit requirements You're ideal for this role if you have: Proficiency in Qlik with strong dashboard development experience 3+ years of experience in data analysis roles Practical knowledge of QlikSense and Qlik architecture Ability to work with large data sets while maintaining performance High level of mathematical and analytical skills Proven experience in stakeholder management and communication Strong collaboration skills within cross-functional teams Experience documenting technical processes and data sources Ability to adapt quickly in fast-changing environments Understanding of regulatory requirements for data sharing It is a strong plus if you have: Experience with Qlik administration Familiarity with financial services or highly regulated industries Knowledge of best practices for offshore project coordination Prior involvement in change or transformation projects Awareness of risk management and internal control standards We offer you: ITDS Business Consultants is involved in many various, innovative and professional IT projects for international companies in the financial industry in Europe. We offer an environment for professional, ambitious, and driven people. The offer includes: Stable and long-term cooperation with very good conditions Enhance your skills and develop your expertise in the financial industry Work on the most strategic projects available in the market Define your career roadmap and develop yourself in the best and fastest possible way by delivering strategic projects for different clients of ITDS over several years Participate in Social Events, training, and work in an international environment Access to attractive Medical Package Access to Multisport Program Access to Pluralsight Flexible hours & remote work Internal job number #...7316 You can report violations in accordance with ITDS’s Whistleblower Procedure availablehere.","[{""min"": 21000, ""max"": 28000, ""type"": ""Net per month - B2B""}]",Data Engineering,21000,28000,Net per month - B2B
Full-time,Manager / C-level,B2B,Remote,383,AI/ML Data Practice Lead,Knowit Poland sp. z o.o.,"Role Overview: As the AI/ML & Data Practice Lead, you will be responsible for designing, implementing, and delivering AI/ML solutions that drive value for our clients. You will also play a key and active role in pre-sales activities, defining company offering, lead discovery workshops, and provide hands-on consulting. Your expertise will help establish and grow our AI/ML and Data Management practice, positioning Knowit Poland as a leader in the field. Key Responsibilities: Lead the development and delivery of AI/ML and Data Management solutions. Engage in pre-sales activities, including participation in defining company offer, client consultations, discovery workshops, and inspiration events. Design and implement AI/ML and Data solutions based on public cloud infrastructure (preferably Azure). Establish and grow Knowit Poland's AI/ML and Data practices. Serve as the technical and professional lead in AI/ML and Data areas.","[{""min"": 150, ""max"": 200, ""type"": ""Net per day - B2B""}]",Data Science,150,200,Net per day - B2B
Full-time,Senior,Permanent or B2B,Hybrid,384,DATA Architect,Power Media,"Nasz klient to firma, która odważnie podchodzi do wyzwań technologicznych i nie boi się szukać nieszablonowych rozwiązań. Innowacyjność łączy tu się z solidną wiedzą techniczną oraz doskonałą znajomością realiów branży. Specjalizują się w projektach z pogranicza eCommerce i Business Intelligence, oferując kompleksowe rozwiązania oparte na sprawdzonych technologiach. Co więcej – umiejętnie łączą te dwa światy, tworząc narzędzia, które zapewniają pełen wgląd w dane i realne wsparcie dla biznesu. Stanowisko: Data Architect / Data Warehouse Specialist. Lokalizacja biura: Katowice. Model pracy: hybrydowy (praca z biura 1 raz w tygodniu, we wtorek). O projekcie: Przygotowanie, utrzymanie oraz rozwój rozwiązań Data Platform w środowisku chmurowym. Kluczowym zadaniem będzie budowa warstwy integracji danych w ramach migracji systemu legacy do nowej instalacji w chmurze oraz przygotowanie interfejsów w złożonym krajobrazie systemowym klienta. Projekt obejmuje budowę hurtowni danych oraz platform danych od podstaw. Zespółskłada się z 22 osób: 4x PM, 2x Leader, 6xArchitect, 10x Senior Developer/DWH Specialist. Zakres obowiązków: Rozwój i utrzymanie Data Warehouse oraz Data Platform przy użyciu narzędzi ETL i SQL, Analiza wymagań biznesowych i proponowanie rozwiązań technicznych, Współpraca z zespołem w celu zapewnienia dostępności rozwiązań biznesowych, Wykorzystanie swojej wiedzy i doświadczenia do tworzenia innowacyjnych rozwiązań. Główne wymagania: Bardzo dobra znajomość metod i technik projektowania oprogramowania, Ponad 10-letnie doświadczenie w projektowaniu i utrzymaniu BI/DWH, rozwoju ETL i modelowaniu danych, Znajomość ekosystemów Big Data, Znajomośćrozwiązań chmurowych Azure/AWS/Google Cloud Platform/SnowFlake, Dobre umiejętności analityczne (analiza i dokumentowanie wymagań biznesowych oraz specyfikacji technicznych) Doświadczenie w pracy z bazami danych: Oracle, MySQL, Teradata, MS SQL, Znajomość SQL, PL/SQL, T-SQL, optymalizacji SQL, Unix-Shellscripts, Data Modeling, Znajomość rozwiązań ETL w chmurze (Informatica, Talend, Azure Data Factory), Bardzo dobra znajomość języka angielskiego (min. B2+/C1)– codzienna praca w międzynarodowym środowisku, Gotowość do podróży służbowych. Mile widziane: Znajomośćnarzędzi Informatica, Znajomość Machine Learning oraz frameworków ML (TensorFlow, PyTorch, Caffe, MxNet), Znajomość języków programowania (Java, Scala, C++, Python). Znajomość języka niemieckiego. Firma oferuje: Stabilne, długofalowe zatrudnienie w oparciu o B2B lub UoP, Możliwość pracy w większości zdalnej(praca z biura 1 raz w tygodniu, we wtorek) Płaska struktura, anty korporacyjne podejście do pracy i zespołu, Ciekawe, międzynarodowe projekty, Zgrany zespół chętnie uczestniczący w aktywnościach sportowo – rekreacyjnych (lokalne akcje, wyjazdy integracyjne, warsztaty team – building), Dodatkowe zajęcia z j. angielskiego, Dofinansowanie do ubezpieczenia i zajęć sportowych, Nowoczesne biuro ze strefą relaksu, Co roczny 5 dniowy wyjazd firmowy (cała firma), warsztaty kulinarne, wyjścia firmowe, cykliczne wjazdy weekendowe zamiennie z lokalnymi sportowymi aktywnościami Świetna atmosfera, partnerskie podejście, Prosty i sprawny proces rekrutacji -> tylko 1 etap: Rozmowa „miękko-techniczna”. Gorąca prośba o CV w j. angielskim : )","[{""min"": 18000, ""max"": 30000, ""type"": ""Net per month - B2B""}, {""min"": 14000, ""max"": 18000, ""type"": ""Gross per month - Permanent""}]",Data Architecture,18000,30000,Net per month - B2B
Full-time,Senior,B2B,Hybrid,385,Data Engineer,Antal Sp. z o.o.,"For Our Client in the Banking Industry, we are looking for a Data Engineer. Salary Range: 180-200 PLN/hour Work Model: Hybrid (6 times a month in the Krakow office) Responsibilities: This role involves: Responsibility for metrics implementation: data ingest, data quality, refinement, and presentation - design, development, testing, coding, and deploying to production Operating and iterating a cloud data platform capability to support our internal goals Focus on quality, time, and budget constraints Communicating efficiently within the team and business stakeholders Working with global diverse teams Working in an Agile product-oriented culture Skills Desired: Experience in data engineering, ETL processes At least 7 years of professional experience in SQL development Experience in GCP, Big Query Experience with data build tools (DBT) Experience with Airflow, Cloud Composer Experience in data modeling Experience with data streaming, e.g., Kafka Experience with BI tools – mainly Looker Studio Experience making trade-offs when designing schemas and marts Experience with implementing automated data quality solutions Experience in orchestration and scheduling Experience working in a DevOps environment, i.e., think, build, and run Experience with Continuous Integration, Continuous Delivery","[{""min"": 180, ""max"": 200, ""type"": ""Net per day - B2B""}]",Data Engineering,180,200,Net per day - B2B
Full-time,Senior,B2B,Remote,387,Senior Data Engineer with AWS and Snowflake,Sii,"Strong expertise in cloud technologies and the Snowflake ecosystem, particularly AWS, Data One Platform, Immuta, Collibra, and cloud security aspects Minimum 5 years of experience in Python programming for building and maintaining data pipelines Advanced knowledge of databases, including query optimization, relational schema design, and MPP using SQL Expertise in data storage technologies, including files, relational databases, MPP, NoSQL, and various data types (structured, unstructured, metrics, logs) Deep familiarity with Data Vault, Data Mesh, dimensional modeling, and metadata management Understanding of business and analytical processes, as well as integration with analytics and reporting systems Experience working in Agile environments, coaching development teams with the use of fluent English and Polish Residing in Poland required Nice-to-have requirements Knowledge of Pharma data formats is a big plus We are looking for a Data Engineer with expertise in Snowflake, AWS, and ETL processes, who will work closely with AI scientists and data analysts to design, develop, and maintain data pipelines and systems that support clinical and operational data use cases. Design and develop data architecture incorporating Snowflake, Immuta, Collibra, and cloud security Implement and optimize ETL/ELT processes, manage raw data, automate workflows, and ensure high performance and reliability of data processing systems Manage data quality and security, monitor quality, and implement metadata management strategies Collaborate with analytics and business teams to identify user needs and deliver comprehensive solutions supporting analytics and reporting Optimize and migrate data systems through data and process conversion from existing systems to Data Vault Define and enforce coding standards, data modeling, and ETL/ELT architecture, ensure compliance with Data Mesh and other modern approaches Coach and mentor the data engineering team, conduct code reviews, participate in architectural discussions, and initiate innovative technological solutions Recruitment language: Polish Start ASAP Permanent contract Fully remote Free coffee Free breakfast No dress code Modern office Sport subscription Training budget Private healthcare Small teams International projects Since 2006 on the market, 7 500+ experts, PLN 2,1 billion revenue, 11 times Great Place to Work title – get to know Sii, the leading technology consulting, digital transformation, engineering, and business services vendor in Poland. We implement projects for over 200 clients from all over the world. Our mission is to identify and promote the best Workers – Power People. Learn more atsii.pl.","[{""min"": 22000, ""max"": 26000, ""type"": ""Net per month - B2B""}]",Data Engineering,22000,26000,Net per month - B2B
